ID,TEFF,LOGG,RADIUS,MASS,BP_RP,GAIA3ID
150428135,5778.0,4.80892,0.419457,0.413261,2.3904000000000014,
410153553,5778.0,5.08528,0.188624,0.157909,3.3994999999999997,
38890006,5778.0,4.01545,1.482,0.83,1.4487000000000023,
382862991,5778.0,,4.24403,,2.405000000000001,
219134,5778.0,,,,1.5920999999999985,
307210830,5778.0,4.91039,0.31416,0.292836,2.5055299999999985,
2733520,5778.0,3.8441,2.39419,1.46,0.5496599999999994,
2441619,5778.0,,,,2.5975,
183120439,5778.0,4.23364,1.29661,1.05,0.8587000000000007,
217897806,5778.0,4.58363,0.793344,0.88,1.587600000000002,
98796344,5778.0,4.95336,0.275953,0.249439,2.5913699999999995,
149603524,5778.0,4.37665,1.21427,1.28,0.6849100000000004,
268301217,5778.0,4.38778,1.07015,1.02,1.0053,
155867025,5778.0,4.73003,0.50843,0.506325,2.3173999999999992,
144065872,5778.0,4.2653,1.23824,1.03,0.8342700000000001,
281541555,5778.0,4.53376,0.877585,0.96,0.9315999999999995,
300843387,5778.0,,,,0.6339000000000006,
167418143,5778.0,4.46275,0.847353,0.76,1.2892999999999972,
198008474,5778.0,4.61231,0.646684,0.624635,1.7065999999999981,
33521996,5778.0,4.65391,0.596801,0.585471,2.0258000000000003,
140691463,5778.0,4.35019,1.10646,1.0,0.9545999999999992,
